item_name,product_name
 E&J BRANDY (35CL),ej brandy 35cl
 EASTER EGG ,easter egg
 ELF BAR blueberry sour raspberries ,elf bar blueberry sour raspberry
 ELF MANGO,elf mango
 Elephant Atta Chapattis 360g,elephant atta chapatti 360g
 Elf Bar 200 2% Banana Ice ,elf bar 200 2 % banana ice
 Elfbar 600 Disposable Pod Blue Razz Lemonade,elfbar 600 disposable pod blue razz lemonade
 Elfbar 600 Disposable Pod Cotton Candy Ice,elfbar 600 disposable pod cotton candy ice
 Elfbar Disposable Pod 600 Strawberry Kiwi 20mg,elfbar disposable pod 600 strawberry kiwi 20mg
 Elfbar shiha double grape 600 Disposable Pod ,elfbar shiha double grape 600 disposable pod
 Elmlea Single Alternative to Cream 270ml,elmlea single alternative to cream 270ml
 Elmlea Single Cream 270ml,elmlea single cream 270ml
 Elux  Disposable 3500 puffs cola,elux disposable 3500 puff cola
 Elux  Disposable 3500 puffs fresh mint,elux disposable 3500 puff fresh mint
 Elux  Disposable 3500 puffs peach blueberry candy,elux disposable 3500 puff peach blueberry candy
 Elux  Disposable 3500 puffs pink lemonade,elux disposable 3500 puff pink lemonade
 Elux  Disposable 3500 puffs strawberry ice cream,elux disposable 3500 puff strawberry ice cream
 Elux  Disposable 3500 puffs strawberry peach lemon,elux disposable 3500 puff strawberry peach lemon
 Elux  Disposable 3500 puffs tropical punch,elux disposable 3500 puff tropical punch
 Estrella Dam 660ml,estrella dam 660ml
 Extra Strong Super Glue 3g,extra strong super glue 3g
 Extra White Bubblemint 14g,extra white bubblemint 14g
 Extra peppermint  10 pcs,extra peppermint 10 pc
 FB Classic Pesto 190g,fb classic pesto 190g
 FB Extra Virgin Olive Oil PM399 500ml,fb extra virgin olive oil  500ml
 FTB Large White Baps 4 Pack,ftb large white bap 4 pack
 Fairy Liquid Original Washing Up Liquid 433ml,fairy liquid original washing up liquid 433ml
 Fairys Washing Up Liquid Green  433ML ,fairy washing up liquid green 433ml
 Fanta Orange 2ltr,fanta orange 2ltr
 Fanta Peach (330ml),fanta peach 330ml
 Farm Fresh 2 Baking Potatoes,farm fresh 2 baking potato
 Farm Fresh 4 Lemons,farm fresh 4 lemon
 Farm Fresh Salad Tomatoes,farm fresh salad tomato
 Farm Fresh Seedless Grapes 500g,farm fresh seedless grape 500g
